name,share1,industry,share2
台泥,0.46%,水泥工業,0.90%
亞泥,0.44%,水泥工業,0.90%
統一,1.44%,食品工業,1.44%
台塑,4.32%,塑膠工業,10.76%
南亞塑膠,3.16%,塑膠工業,10.76%
台化,3.28%,塑膠工業,10.76%
遠東新,1.21%,紡織纖維,1.21%
中鋼,3.04%,鋼鐵工業,3.04%
正新,0.56%,橡膠工業,0.56%
彰化銀行,0.55%,金融保險業,14.56%
華南金,0.91%,金融保險業,14.56%
富邦金,2.28%,金融保險業,14.56%
國泰金,2.43%,金融保險業,14.56%
開發金,1.01%,金融保險業,14.56%
元大金,1.09%,金融保險業,14.56%
兆豐金,1.50%,金融保險業,14.56%
新光金,0.61%,金融保險業,14.56%
永豐金控,0.74%,金融保險業,14.56%
中信金,1.73%,金融保險業,14.56%
第一金控,0.88%,金融保險業,14.56%
合庫,0.83%,金融保險業,14.56%
統一超,0.41%,貿易百貨,0.41%
寶成工業,0.74%,其他,0.74%
台肥,0.65%,化學工業,0.65%
台塑石化,1.53%,油電燃氣業,1.53%
聯電,1.45%,半導體業,24.14%
日月光,1.09%,半導體業,24.14%
矽品,1.13%,半導體業,24.14%
台積電,16.20%,半導體業,24.14%
聯發科,3.84%,半導體業,24.14%
華亞科,0.43%,半導體業,24.14%
光寶科技,0.83%,電腦及週邊設備業,8.81%
仁寶電腦,1.71%,電腦及週邊設備業,8.81%
宏碁,2.08%,電腦及週邊設備業,8.81%
華碩,1.59%,電腦及週邊設備業,8.81%
廣達,1.15%,電腦及週邊設備業,8.81%
緯創,0.92%,電腦及週邊設備業,8.81%
和碩,0.53%,電腦及週邊設備業,8.81%
友達,2.62%,光電業,5.63%
晶電,0.67%,光電業,5.63%
群創光電,2.34%,光電業,5.63%
中華電,3.15%,通信網路業,8.47%
宏達電,3.45%,通信網路業,8.47%
台灣大,1.21%,通信網路業,8.47%
遠傳,0.66%,通信網路業,8.47%
台達電,1.92%,電子零組件業,2.26%
南電,0.34%,電子零組件業,2.26%
聯強國際,0.97%,電子通路業,0.97%
鴻海,10.09%,其他電子業,11.17%
鴻準,1.08%,其他電子業,11.17%
