id,name ,share1,industry,share2
1101,台泥,1.03%,水泥工業,1.54%
1102,亞泥,0.51%,水泥工業,1.54%
1216,統一,2.15%,食品工業,2.15%
1301,台塑,3.16%,塑膠工業,8.21%
1303,南亞,2.74%,塑膠工業,8.21%
1326,台化,2.31%,塑膠工業,8.21%
1402,遠東新,0.70%,紡織纖維,0.70%
2002,中鋼,1.92%,鋼鐵工業,1.92%
2105,正新,0.48%,橡膠工業,0.48%
2633,台灣高鐵,0.41%,航運業,0.41%
2801,彰銀,0.68%,金融保險業,18.75%
2823,中壽,0.46%,金融保險業,18.75%
2880,華南金,0.97%,金融保險業,18.75%
2881,富邦金,2.22%,金融保險業,18.75%
2882,國泰金,2.38%,金融保險業,18.75%
2883,開發金,0.87%,金融保險業,18.75%
2884,玉山金,1.33%,金融保險業,18.75%
2885,元大金,1.11%,金融保險業,18.75%
2886,兆豐金,1.81%,金融保險業,18.75%
2887,台新金,0.83%,金融保險業,18.75%
2890,永豐金,0.69%,金融保險業,18.75%
2891,中信金,2.35%,金融保險業,18.75%
2892,第一金,1.25%,金融保險業,18.75%
5876,上海商銀,0.77%,金融保險業,18.75%
5880,合庫金,1.03%,金融保險業,18.75%
2912,統一超,1.12%,貿易百貨,1.12%
5871,中租-KY,0.73%,其他,1.29%
9904,寶成,0.56%,其他,1.29%
6505,台塑化,0.95%,油電燃氣業,0.95%
2303,聯電,0.85%,半導體業,39.29%
2330,台積電,34.72%,半導體業,39.29%
2408,南亞科,0.29%,半導體業,39.29%
2454,聯發科,2.17%,半導體業,39.29%
3711,日月光投控,1.26%,半導體業,39.29%
2301,光寶科,0.55%,電腦及週邊設備業,3.52%
2357,華碩,0.91%,電腦及週邊設備業,3.52%
2382,廣達,0.90%,電腦及週邊設備業,3.52%
2395,研華,0.50%,電腦及週邊設備業,3.52%
4938,和碩,0.66%,電腦及週邊設備業,3.52%
2409,友達,0.69%,光電業,3.34%
3008,大立光,2.11%,光電業,3.34%
3481,群創,0.54%,光電業,3.34%
2412,中華電,2.76%,通信網路業,4.63%
3045,台灣大,1.09%,通信網路業,4.63%
4904,遠傳,0.78%,通信網路業,4.63%
2308,台達電,1.80%,電子零組件業,2.59%
2327,國巨,0.79%,電子零組件業,2.59%
2317,鴻海,5.42%,其他電子業,6.92%
2354,鴻準,0.43%,其他電子業,6.92%
2474,可成,1.07%,其他電子業,6.92%
