證券代碼,簡稱,年月日,收盤價(元)_週
1101,台泥         ,20180105,37.3
1102,亞泥         ,20180105,29.35
1103,嘉泥         ,20180105,13.6
1104,環泥         ,20180105,23.1
1108,幸福         ,20180105,8.38
1109,信大         ,20180105,13.95
1110,東泥         ,20180105,14.4
1201,味全         ,20180105,21.05
1203,味王         ,20180105,25.6
1210,大成         ,20180105,33.4
1213,大飲         ,20180105,15.65
1215,卜蜂         ,20180105,63.7
1216,統一         ,20180105,67.3
1217,愛之味       ,20180105,7.55
1218,泰山         ,20180105,17.15
1219,福壽         ,20180105,17.75
1220,台榮         ,20180105,10.5
1225,福懋油       ,20180105,67.7
1227,佳格         ,20180105,74.9
1229,聯華         ,20180105,39.15
1231,聯華食       ,20180105,35
1232,大統益       ,20180105,91.5
1233,天仁         ,20180105,35.8
1234,黑松         ,20180105,31.5
1235,興泰         ,20180105,37.35
1236,宏亞         ,20180105,17.7
1301,台塑         ,20180105,98.4
1303,南亞         ,20180105,78
1304,台聚         ,20180105,16.45
1305,華夏         ,20180105,32.05
1307,三芳         ,20180105,33.55
1308,亞聚         ,20180105,19.2
1309,台達化       ,20180105,15.25
1310,台苯         ,20180105,22.55
1312,國喬         ,20180105,30.8
1313,聯成         ,20180105,19.3
1314,中石化       ,20180105,15.5
1315,達新         ,20180105,26
1316,上曜         ,20180105,23.9
1319,東陽         ,20180105,58.3
1321,大洋         ,20180105,29.25
1323,永裕         ,20180105,37.6
1324,地球         ,20180105,12.6
1325,恒大         ,20180105,19.7
1326,台化         ,20180105,104
1337,再生-KY      ,20180105,13.05
1338,廣華-KY      ,20180105,117
1339,昭輝         ,20180105,43.2
1402,遠東新       ,20180105,26.65
1409,新纖         ,20180105,10.15
1410,南染         ,20180105,23.35
1413,宏洲         ,20180105,9.05
1414,東和         ,20180105,7.42
1416,廣豐         ,20180105,16.7
1417,嘉裕         ,20180105,4.72
1418,東華         ,20180105,8
1419,新紡         ,20180105,45
1423,利華         ,20180105,8.5
1432,大魯閣       ,20180105,13.9
1434,福懋         ,20180105,31.6
1435,中福         ,20180105,5.6
1436,華友聯       ,20180105,40.05
1437,勤益控       ,20180105,17.95
1438,裕豐         ,20180105,5.15
1439,中和         ,20180105,21.25
1440,南紡         ,20180105,13.75
1441,大東         ,20180105,7.36
1442,名軒         ,20180105,18.8
1443,立益         ,20180105,5.12
1444,力麗         ,20180105,11.75
1445,大宇         ,20180105,8.35
1446,宏和         ,20180105,21.85
1447,力鵬         ,20180105,9
1449,佳和         ,20180105,5.44
1451,年興         ,20180105,27.3
1452,宏益         ,20180105,22.2
1453,大將         ,20180105,10.55
1454,台富         ,20180105,8.5
1455,集盛         ,20180105,12.45
1456,怡華         ,20180105,10.3
1457,宜進         ,20180105,14.45
1459,聯發         ,20180105,9.61
1460,宏遠         ,20180105,14.3
1463,強盛         ,20180105,24.85
1464,得力         ,20180105,25.05
1465,偉全         ,20180105,15.35
1466,聚隆         ,20180105,12
1467,南緯         ,20180105,12.1
1468,昶和         ,20180105,10.2
1469,理隆         ,20180105,14.25
1470,大統染       ,20180105,18.5
1471,首利         ,20180105,5.15
1472,三洋紡       ,20180105,40.05
1473,台南         ,20180105,24.3
1474,弘裕         ,20180105,11.45
1475,本盟         ,20180105,46.05
1476,儒鴻         ,20180105,296
1477,聚陽         ,20180105,129
1503,士電         ,20180105,41.2
1504,東元         ,20180105,28.5
1506,正道         ,20180105,21.85
1507,永大         ,20180105,48.2
1512,瑞利         ,20180105,11.9
1513,中興電       ,20180105,22.45
1514,亞力         ,20180105,12.3
1515,力山         ,20180105,54.5
1516,川飛         ,20180105,17
1517,利奇         ,20180105,12.2
1519,華城         ,20180105,21.3
1521,大億         ,20180105,78.8
1522,堤維西       ,20180105,34
1524,耿鼎         ,20180105,12.25
1525,江申         ,20180105,91.1
1526,日馳         ,20180105,76.5
1527,鑽全         ,20180105,66.1
1528,恩德         ,20180105,14.9
1529,樂士         ,20180105,3.14
1530,亞崴         ,20180105,32.6
1531,高林股       ,20180105,23.95
1532,勤美         ,20180105,29.2
1533,車王電       ,20180105,40.65
1535,中宇         ,20180105,41.8
1536,和大         ,20180105,138
1537,廣隆         ,20180105,142.5
1538,正峰新       ,20180105,5.02
1539,巨庭         ,20180105,20.2
1540,喬福         ,20180105,15.75
1541,錩泰         ,20180105,46.95
1560,中砂         ,20180105,84.7
1582,信錦         ,20180105,63.3
1583,程泰         ,20180105,63
1589,永冠-KY      ,20180105,67
1590,亞德客-KY    ,20180105,524
1603,華電         ,20180105,27.5
1604,聲寶         ,20180105,13.1
