"","X2004Q1.id","X2004Q1.name","X2004Q2.id","X2004Q2.name","X2004Q3.id","X2004Q3.name","X2004Q4.id","X2004Q4.name","X2005Q1.id","X2005Q1.name","X2005Q2.id","X2005Q2.name","X2005Q3.id","X2005Q3.name","X2005Q4.id","X2005Q4.name","X2006Q1.id","X2006Q1.name","X2006Q2.id","X2006Q2.name","X2006Q3.id","X2006Q3.name","X2006Q4.id","X2006Q4.name","X2007Q1.id","X2007Q1.name","X2007Q2.id","X2007Q2.name","X2007Q3.id","X2007Q3.name","X2007Q4.id","X2007Q4.name","X2008Q1.id","X2008Q1.name","X2008Q2.id","X2008Q2.name","X2008Q3.id","X2008Q3.name","X2008Q4.id","X2008Q4.name","X2009Q1.id","X2009Q1.name","X2009Q2.id","X2009Q2.name","X2009Q3.id","X2009Q3.name","X2009Q4.id","X2009Q4.name","X2010Q1.id","X2010Q1.name","X2010Q2.id","X2010Q2.name","X2010Q3.id","X2010Q3.name","X2010Q4.id","X2010Q4.name","X2011Q1.id","X2011Q1.name","X2011Q2.id","X2011Q2.name","X2011Q3.id","X2011Q3.name","X2011Q4.id","X2011Q4.name","X2012Q1.id","X2012Q1.name","X2012Q2.id","X2012Q2.name","X2012Q3.id","X2012Q3.name","X2012Q4.id","X2012Q4.name","X2013Q1.id","X2013Q1.name","X2013Q2.id","X2013Q2.name","X2013Q3.id","X2013Q3.name","X2013Q4.id","X2013Q4.name","X2014Q1.id","X2014Q1.name","X2014Q2.id","X2014Q2.name","X2014Q3.id","X2014Q3.name","X2014Q4.id","X2014Q4.name","X2015Q1.id","X2015Q1.name","X2015Q2.id","X2015Q2.name","X2015Q3.id","X2015Q3.name","X2015Q4.id","X2015Q4.name","X2016Q1.id","X2016Q1.name","X2016Q2.id","X2016Q2.name","X2016Q3.id","X2016Q3.name","X2016Q4.id","X2016Q4.name","X2017Q1.id","X2017Q1.name","X2017Q2.id","X2017Q2.name","X2017Q3.id","X2017Q3.name","X2017Q4.id","X2017Q4.name"
"1",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1216,"統一",1216,"統一",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥",1101,"台泥"
"2",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1301,"台塑",1301,"台塑",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥",1102,"亞泥"
"3",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1303,"南亞塑膠",1303,"南亞塑膠",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一",1216,"統一"
"4",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1326,"台化",1326,"台化",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑",1301,"台塑"
"5",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",1402,"遠東新",1402,"遠東新",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞",1303,"南亞",1303,"南亞",1303,"南亞",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠",1303,"南亞塑膠"
"6",2002,"中鋼",1605,"華新",2371,"大同",2371,"大同",2371,"大同",2371,"大同",2201,"裕隆汽車",2201,"裕隆汽車",2201,"裕隆汽車",3009,"奇美電子",2002,"中鋼",2002,"中鋼",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化",1326,"台化"
"7",2105,"正新",2002,"中鋼",1605,"華新",1605,"華新",1605,"華新",1605,"華新",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",3012,"廣輝下市",3009,"奇美電子",3009,"奇美電子",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新",1402,"遠東新"
"8",2201,"裕隆汽車",2201,"裕隆汽車",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",3012,"廣輝下市",3012,"廣輝下市",3012,"廣輝下市",8078,"華寶通訊",8078,"華寶通訊",8078,"華寶通訊",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",1802,"台玻",1802,"台玻",1802,"台玻",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",1476,"儒鴻",1476,"儒鴻",1476,"儒鴻",1476,"儒鴻",1476,"儒鴻",1476,"儒鴻",1476,"儒鴻",2002,"中鋼",2002,"中鋼",2002,"中鋼"
"9",2204,"中華汽車",2204,"中華汽車",2201,"裕隆汽車",2201,"裕隆汽車",2201,"裕隆汽車",2201,"裕隆汽車",2603,"長榮海運",2603,"長榮海運",2603,"長榮海運",2603,"長榮海運",2603,"長榮海運",2603,"長榮海運",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2002,"中鋼",2002,"中鋼",2002,"中鋼",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2002,"中鋼",2105,"正新",2105,"正新",2105,"正新"
"10",3009,"奇美電子",3009,"奇美電子",2204,"中華汽車",2204,"中華汽車",2204,"中華汽車",2204,"中華汽車",2609,"陽明海運",2609,"陽明海運",2609,"陽明海運",2609,"陽明海運",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2603,"長榮海運",2603,"長榮海運",2603,"長榮海運",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2603,"長榮",2618,"長榮航",2105,"正新",2105,"正新",2105,"正新",2201,"裕隆汽車",2201,"裕隆汽車",2201,"裕隆汽車",2201,"裕隆汽車",2201,"裕隆汽車",2201,"裕隆汽車",2201,"裕隆汽車",2201,"裕隆汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2105,"正新",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車"
"11",2603,"長榮海運",3012,"廣輝下市",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",3009,"奇美電子",2610,"華航",2610,"華航",2610,"華航",2610,"華航",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2603,"長榮海運",2603,"長榮海運",2603,"長榮海運",2603,"長榮海運",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2801,"彰銀",2801,"彰銀",2201,"裕隆",2201,"裕隆",2201,"裕隆汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2227,"裕隆日產",2227,"裕隆日產",2227,"裕隆日產",2227,"裕隆日產",2227,"裕隆日產",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2207,"和泰汽車",2633,"台灣高鐵",2633,"台灣高鐵",2633,"台灣高鐵"
"12",2609,"陽明海運",2603,"長榮海運",3012,"廣輝下市",3012,"廣輝下市",3012,"廣輝下市",3012,"廣輝下市",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2880,"華南金",2880,"華南金",2880,"華南金",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2880,"華南金",2880,"華南金",2801,"彰銀",2801,"彰銀",2207,"和泰汽車",3697,"F-晨星",3697,"F-晨星",3697,"F-晨星",3697,"F-晨星",3697,"F-晨星",3697,"F-晨星",2227,"裕隆日產",2227,"裕隆日產",2801,"彰銀",2801,"彰銀",2801,"彰銀",2801,"彰銀",2801,"彰銀",2227,"裕隆日產",2227,"裕隆日產",2227,"裕隆日產",2801,"彰銀",2801,"彰銀",2801,"彰銀",2801,"彰銀",2801,"彰銀",2801,"彰銀",2801,"彰銀"
"13",2610,"華航",2609,"陽明海運",2603,"長榮海運",2603,"長榮海運",2603,"長榮海運",2603,"長榮海運",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2881,"富邦金",2881,"富邦金",2880,"華南金",2880,"華南金",2801,"彰銀",2801,"彰化銀行",2801,"彰化銀行",2801,"彰銀",2801,"彰化銀行",2801,"彰銀",2801,"彰化銀行",3697,"F-晨星",2801,"彰銀",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2801,"彰銀",2801,"彰銀",2801,"彰銀",2880,"華南金",2880,"華南金",2823,"中壽",2823,"中壽",2823,"中壽",2823,"中壽",2823,"中壽"
"14",2801,"彰化銀行",2610,"華航",2609,"陽明海運",2609,"陽明海運",2609,"陽明海運",2609,"陽明海運",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2882,"國泰金",2882,"國泰金",2881,"富邦金",2881,"富邦金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2801,"彰銀",2880,"華南金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2880,"華南金",2880,"華南金",2880,"華南金",2881,"富邦金",2881,"富邦金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金"
"15",2880,"華南金",2801,"彰化銀行",2610,"華航",2610,"華航",2610,"華航",2610,"華航",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2884,"玉山金控",2884,"玉山金控",2884,"玉山金控",2884,"玉山金控",2884,"玉山金控",2885,"元大金",2885,"元大金",2883,"開發金",2883,"開發金",2883,"開發金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2885,"元大金",2885,"元大金",2885,"元大金",2885,"元大金",2883,"開發金",2883,"開發金",2882,"國泰金",2882,"國泰金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2880,"華南金",2881,"富邦金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2882,"國泰金",2882,"國泰金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金"
"16",2881,"富邦金",2880,"華南金",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2801,"彰化銀行",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2885,"元大金",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2885,"元大金",2885,"元大金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2885,"元大金",2883,"開發金",2883,"開發金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2881,"富邦金",2882,"國泰金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2883,"開發金",2883,"開發金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金"
"17",2882,"國泰金",2881,"富邦金",2880,"華南金",2880,"華南金",2880,"華南金",2880,"華南金",2884,"玉山金控",2884,"玉山金控",2884,"玉山金控",2884,"玉山金控",2887,"台新金控",2887,"台新金控",2887,"台新金控",2886,"兆豐金",2886,"兆豐金",2887,"台新金控",2887,"台新金控",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2885,"元大金",2885,"元大金",2885,"元大金",2888,"新光金",2888,"新光金",2888,"新光金",2888,"新光金",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2885,"元大金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2882,"國泰金",2883,"開發金",2884,"玉山金",2884,"玉山金",2884,"玉山金",2884,"玉山金",2884,"玉山金",2883,"開發金",2883,"開發金",2883,"開發金",2884,"玉山金",2884,"玉山金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金"
"18",2883,"開發金",2882,"國泰金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2881,"富邦金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2888,"新光金",2888,"新光金",2888,"新光金",2887,"台新金控",2887,"台新金控",2888,"新光金",2888,"新光金",2887,"台新金控",2887,"台新金控",2888,"新光金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2890,"永豐金控",2890,"永豐金控",2890,"永豐金控",2890,"永豐金控",2888,"新光金",2888,"新光金",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2885,"元大金",2885,"元大金",2885,"元大金",2885,"元大金",2884,"玉山金",2884,"玉山金控",2883,"開發金",2884,"玉山金",2885,"元大金",2885,"元大金",2885,"元大金",2885,"元大金",2885,"元大金",2884,"玉山金",2884,"玉山金",2884,"玉山金",2885,"元大金",2885,"元大金",2884,"玉山金",2884,"玉山金",2884,"玉山金",2884,"玉山金",2884,"玉山金"
"19",2886,"兆豐金",2883,"開發金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2882,"國泰金",2887,"台新金控",2887,"台新金控",2887,"台新金控",2887,"台新金控",2890,"永豐金控",2890,"永豐金控",2890,"永豐金控",2888,"新光金",2888,"新光金",2890,"永豐金控",2890,"永豐金控",2888,"新光金",2888,"新光金",2890,"永豐金控",2888,"新光金",2888,"新光金",2888,"新光金",2888,"新光金",2891,"中信金",2891,"中信金",2891,"中信金",2891,"中信金",2890,"永豐金",2890,"永豐金",2888,"新光金",2888,"新光金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2885,"元大金",2884,"玉山金",2885,"元大金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2885,"元大金",2885,"元大金",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2885,"元大金",2885,"元大金",2885,"元大金",2885,"元大金"
"20",2887,"台新金控",2886,"兆豐金",2883,"開發金",2883,"開發金",2883,"開發金",2883,"開發金",2888,"新光金",2888,"新光金",2888,"新光金",2888,"新光金",2891,"中信金",2891,"中信金",2891,"中信金",2890,"永豐金控",2890,"永豐金控",2891,"中信金",2891,"中信金",2890,"永豐金控",2890,"永豐金控",2891,"中信金",2890,"永豐金控",2890,"永豐金控",2890,"永豐金控",2890,"永豐金控",2892,"第一金控",2892,"第一金控",2892,"第一金控",2892,"第一金控",2891,"中信金",2891,"中信金",2890,"永豐金",2890,"永豐金",2890,"永豐金",2890,"永豐金",2890,"永豐金",2890,"永豐金",2890,"永豐金控",2886,"兆豐金",2886,"兆豐金",2885,"元大金",2886,"兆豐金",2887,"台新金",2887,"台新金",2887,"台新金",2887,"台新金",2887,"台新金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2887,"台新金",2887,"台新金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金",2886,"兆豐金"
"21",2890,"永豐金控",2887,"台新金控",2886,"兆豐金",2886,"兆豐金",2884,"玉山金控",2884,"玉山金控",2890,"永豐金控",2890,"永豐金控",2890,"永豐金控",2890,"永豐金控",2892,"第一金控",2892,"第一金控",2892,"第一金控",2891,"中信金",2891,"中信金",2892,"第一金控",2892,"第一金控",2891,"中信金",2891,"中信金",2892,"第一金控",2891,"中信金",2891,"中信金",2891,"中信金",2891,"中信金",5880,"合庫",5880,"合庫",5880,"合庫",5880,"合庫",2892,"第一金",2892,"第一金",2891,"中信金",2891,"中信金",2891,"中信金",2891,"中信金",2891,"中信金",2891,"中信金",2891,"中信金",2890,"永豐金",2887,"台新金控",2886,"兆豐金",2887,"台新金",2890,"永豐金",2890,"永豐金",2890,"永豐金",2890,"永豐金",2890,"永豐金",2887,"台新金",2887,"台新金",2887,"台新金",2890,"永豐金控",2890,"永豐金",2887,"台新金控",2887,"台新金",2887,"台新金",2887,"台新金",2887,"台新金"
"22",2891,"中信金",2888,"新光金",2887,"台新金控",2887,"台新金控",2886,"兆豐金",2886,"兆豐金",2891,"中信金",2891,"中信金",2891,"中信金",2891,"中信金",5880,"合庫",5880,"合庫",5880,"合庫",2892,"第一金控",2892,"第一金控",5880,"合庫",5880,"合庫",2892,"第一金控",2892,"第一金控",5880,"合庫",2892,"第一金控",2892,"第一金控",2892,"第一金控",2892,"第一金控",2912,"統一超",2912,"統一超",2912,"統一超",2912,"統一超",5880,"合庫",5880,"合庫",2892,"第一金",2892,"第一金",2892,"第一金",2892,"第一金",2892,"第一金",2892,"第一金",2892,"第一金控",2891,"中信金",2890,"永豐金控",2887,"台新金",2890,"永豐金",2891,"中信金",2891,"中信金",2891,"中信金",2891,"中信金",2891,"中信金",2890,"永豐金",2890,"永豐金",2890,"永豐金",2891,"中信金",2891,"中信金",2890,"永豐金控",2890,"永豐金",2890,"永豐金",2890,"永豐金",2890,"永豐金"
